Survived,Pclass,Sex,Age,SibSp,Parch,Fare,Embarked,Title,Deck,FamilySize
0,3,0,22.0,1,0,7.25,S,Mr,U,2
1,1,1,38.0,1,0,71.2833,C,Mrs,C,2
1,3,1,26.0,0,0,7.925,S,Miss,U,1
1,1,1,35.0,1,0,53.1,S,Mrs,C,2
0,3,0,35.0,0,0,8.05,S,Mr,U,1
0,3,0,25.0,0,0,8.4583,Q,Mr,U,1
0,1,0,54.0,0,0,51.8625,S,Mr,E,1
0,3,0,2.0,3,1,21.075,S,Master,U,5
1,3,1,27.0,0,2,11.1333,S,Mrs,U,3
1,2,1,14.0,1,0,30.0708,C,Mrs,U,2
1,3,1,4.0,1,1,16.7,S,Miss,G,3
1,1,1,58.0,0,0,26.55,S,Miss,C,1
0,3,0,20.0,0,0,8.05,S,Mr,U,1
0,3,0,39.0,1,5,31.275,S,Mr,U,7
0,3,1,14.0,0,0,7.8542,S,Miss,U,1
1,2,1,55.0,0,0,16.0,S,Mrs,U,1
0,3,0,2.0,4,1,29.125,Q,Master,U,6
1,2,0,30.0,0,0,13.0,S,Mr,U,1
0,3,1,31.0,1,0,18.0,S,Mrs,U,2
1,3,1,21.5,0,0,7.225,C,Mrs,U,1
0,2,0,35.0,0,0,26.0,S,Mr,U,1
1,2,0,34.0,0,0,13.0,S,Mr,D,1
1,3,1,15.0,0,0,8.0292,Q,Miss,U,1
1,1,0,28.0,0,0,35.5,S,Mr,A,1
0,3,1,8.0,3,1,21.075,S,Miss,U,5
1,3,1,38.0,1,5,31.3875,S,Mrs,U,7
0,3,0,25.0,0,0,7.225,C,Mr,U,1
0,1,0,19.0,3,2,263.0,S,Mr,C,6
1,3,1,21.5,0,0,7.8792,Q,Miss,U,1
0,3,0,25.0,0,0,7.8958,S,Mr,U,1
0,1,0,40.0,0,0,27.7208,C,Rare,U,1
1,1,1,35.0,1,0,146.5208,C,Mrs,B,2
1,3,1,21.5,0,0,7.75,Q,Miss,U,1
0,2,0,66.0,0,0,10.5,S,Mr,U,1
0,1,0,28.0,1,0,82.1708,C,Mr,U,2
0,1,0,42.0,1,0,52.0,S,Mr,U,2
1,3,0,25.0,0,0,7.2292,C,Mr,U,1
0,3,0,21.0,0,0,8.05,S,Mr,U,1
0,3,1,18.0,2,0,18.0,S,Miss,U,3
1,3,1,14.0,1,0,11.2417,C,Miss,U,2
0,3,1,40.0,1,0,9.475,S,Mrs,U,2
0,2,1,27.0,1,0,21.0,S,Mrs,U,2
0,3,0,25.0,0,0,7.8958,C,Mr,U,1
1,2,1,3.0,1,2,41.5792,C,Miss,U,4
1,3,1,19.0,0,0,7.8792,Q,Miss,U,1
0,3,0,25.0,0,0,8.05,S,Mr,U,1
0,3,0,25.0,1,0,15.5,Q,Mr,U,2
1,3,1,21.5,0,0,7.75,Q,Miss,U,1
0,3,0,25.0,2,0,21.6792,C,Mr,U,3
0,3,1,18.0,1,0,17.8,S,Mrs,U,2
0,3,0,7.0,4,1,39.6875,S,Master,U,6
0,3,0,21.0,0,0,7.8,S,Mr,U,1
1,1,1,49.0,1,0,76.7292,C,Mrs,D,2
1,2,1,29.0,1,0,26.0,S,Mrs,U,2
0,1,0,65.0,0,1,61.9792,C,Mr,B,2
1,1,0,40.0,0,0,35.5,S,Mr,C,1
1,2,1,21.0,0,0,10.5,S,Miss,U,1
0,3,0,28.5,0,0,7.2292,C,Mr,U,1
1,2,1,5.0,1,2,27.75,S,Miss,U,4
0,3,0,11.0,5,2,46.9,S,Master,U,8
0,3,0,22.0,0,0,7.2292,C,Mr,U,1
1,1,1,38.0,0,0,80.0,S,Miss,B,1
0,1,0,45.0,1,0,83.475,S,Mr,C,2
0,3,0,4.0,3,2,27.9,S,Master,U,6
0,1,0,40.0,0,0,27.7208,C,Mr,U,1
1,3,0,25.0,1,1,15.2458,C,Master,U,3
1,2,1,29.0,0,0,10.5,S,Mrs,F,1
0,3,0,19.0,0,0,8.1583,S,Mr,U,1
1,3,1,17.0,4,2,7.925,S,Miss,U,7
0,3,0,26.0,2,0,8.6625,S,Mr,U,3
0,2,0,32.0,0,0,10.5,S,Mr,U,1
0,3,1,16.0,5,2,46.9,S,Miss,U,8
0,2,0,21.0,0,0,73.5,S,Mr,U,1
0,3,0,26.0,1,0,14.4542,C,Mr,U,2
1,3,0,32.0,0,0,56.4958,S,Mr,U,1
0,3,0,25.0,0,0,7.65,S,Mr,F,1
0,3,0,25.0,0,0,7.8958,S,Mr,U,1
0,3,0,25.0,0,0,8.05,S,Mr,U,1
1,2,0,0.83,0,2,29.0,S,Master,U,3
1,3,1,30.0,0,0,12.475,S,Miss,U,1
0,3,0,22.0,0,0,9.0,S,Mr,U,1
1,3,0,29.0,0,0,9.5,S,Mr,U,1
